Unit;ADR06;ADR08;ADR13;ADR15;Ocurrences;Class DeF
org.apache.hadoop.hbase.util.EnvironmentEdgeManager;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.ExceptionUtil;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.ForeignExceptionUtil;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.HasThread;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.Hash;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.IncrementingEnvironmentEdge;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.IterableUtils;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.KeyLocker;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.KeyLocker$KeyLock;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.MurmurHash;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.MurmurHash3;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.OrderedBytes;0.0;0.0;1.0;0.0;1.0;0.25
org.apache.hadoop.hbase.util.Pair;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.PairOfSameType;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.PrettyPrinter;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.ReadOnlyByteRangeException;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.RetryCounter;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.RetryCounter$BackoffPolicy;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.RetryCounter$ExponentialBackoffPolicy;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.RetryCounter$ExponentialBackoffPolicyWithLimit;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.RetryCounter$RetryConfig;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.RetryCounterFactory;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.SimpleByteRange;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.SimpleMutableByteRange;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.SimplePositionedByteRange;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.SimplePositionedMutableByteRange;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.Strings;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.Triple;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.VersionInfo;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.test.LoadTestKVGenerator;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.test.RedundantKVGenerator;0.0;0.0;1.0;0.0;1.0;0.25
Ocurrences;13.0;38.0;201.0;191.0
Rule DeF;0.06467661691542288;0.1890547263681592;1.0;0.9502487562189055
